timestamp,query,generated_sql,error,advisor_id,advisor_name,firm_name,advisor_status,transaction_id,date,sales_amt,product_bought
2025-07-16T09:28:51.115450,What is the total ETF sales amount for each advisor in Q1 2025?,"SELECT
  T1.advisor_name,
  SUM(T2.sales_amt)
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  T2.product_bought = 'ETF' AND T2.date LIKE '2025-01%'
GROUP BY
  T1.advisor_name;",,,Alice Smith,,,,,,
2025-07-16T09:28:51.115523,What is the total ETF sales amount for each advisor in Q1 2025?,"SELECT
  T1.advisor_name,
  SUM(T2.sales_amt)
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  T2.product_bought = 'ETF' AND T2.date LIKE '2025-01%'
GROUP BY
  T1.advisor_name;",,,Bob Johnson,,,,,,
2025-07-16T09:28:51.115553,What is the total ETF sales amount for each advisor in Q1 2025?,"SELECT
  T1.advisor_name,
  SUM(T2.sales_amt)
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  T2.product_bought = 'ETF' AND T2.date LIKE '2025-01%'
GROUP BY
  T1.advisor_name;",,,Carol Patel,,,,,,
2025-07-16T09:28:51.115578,What is the total ETF sales amount for each advisor in Q1 2025?,"SELECT
  T1.advisor_name,
  SUM(T2.sales_amt)
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  T2.product_bought = 'ETF' AND T2.date LIKE '2025-01%'
GROUP BY
  T1.advisor_name;",,,David Lee,,,,,,
2025-07-16T09:28:53.469017,How much total Mutual Fund was sold by advisors from UBS in February 2025?,SELECT SUM(T1.sales_amt) FROM AdvisorTransaction AS T1 INNER JOIN FinancialAdvisor AS T2 ON T1.advisor_id = T2.advisor_id WHERE T2.firm_name = 'UBS' AND T1.product_bought = 'Mutual Fund' AND T1.date LIKE '2025-02%',,,,,,,,,
2025-07-16T09:28:55.836667,Show the total sales amount grouped by product type in Q1 2025.,"SELECT
  product_bought,
  SUM(sales_amt)
FROM AdvisorTransaction
WHERE
  STRFTIME('%Y', DATE) = '2025' AND STRFTIME('%m', DATE) BETWEEN '01' AND '03'
GROUP BY
  product_bought;",,,,,,,,,ETF
2025-07-16T09:28:55.836745,Show the total sales amount grouped by product type in Q1 2025.,"SELECT
  product_bought,
  SUM(sales_amt)
FROM AdvisorTransaction
WHERE
  STRFTIME('%Y', DATE) = '2025' AND STRFTIME('%m', DATE) BETWEEN '01' AND '03'
GROUP BY
  product_bought;",,,,,,,,,Mutual Fund
2025-07-16T09:28:58.284978,List the top 3 advisors by total sales amount in 2025.,"SELECT
  T1.advisor_name
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  STRFTIME('%Y', T2.date) = '2025'
GROUP BY
  T1.advisor_name
ORDER BY
  SUM(T2.sales_amt) DESC
LIMIT 3;",,,Alice Smith,,,,,,
2025-07-16T09:28:58.285059,List the top 3 advisors by total sales amount in 2025.,"SELECT
  T1.advisor_name
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  STRFTIME('%Y', T2.date) = '2025'
GROUP BY
  T1.advisor_name
ORDER BY
  SUM(T2.sales_amt) DESC
LIMIT 3;",,,David Lee,,,,,,
2025-07-16T09:28:58.285087,List the top 3 advisors by total sales amount in 2025.,"SELECT
  T1.advisor_name
FROM FinancialAdvisor AS T1
INNER JOIN AdvisorTransaction AS T2
  ON T1.advisor_id = T2.advisor_id
WHERE
  STRFTIME('%Y', T2.date) = '2025'
GROUP BY
  T1.advisor_name
ORDER BY
  SUM(T2.sales_amt) DESC
LIMIT 3;",,,Carol Patel,,,,,,
